"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","DESCRIPTION_VOD__C","PRODUCT_VOD__C","PRODUCT_VOD__R.EXTERNAL_ID_VOD__C","PRODUCT_STRATEGY_VOD__C","DISPLAY_ORDER_VOD__C","ACTIVE_VOD__C","CATEGORY_VOD__C","VEHICLE_VOD__C","CLM_ID_VOD__C","CUSTOM_REACTION_VOD__C","SLIDE_VERSION_VOD__C","LANGUAGE_VOD__C","MEDIA_FILE_CRC_VOD__C","MEDIA_FILE_NAME_VOD__C","MEDIA_FILE_SIZE_VOD__C","SEGMENT_VOD__C","DETAIL_GROUP_VOD__C","DISABLE_ACTIONS_VOD__C","EXTERNAL_ID_MRK__C"
"a0DU0000000Z0IYMA0","005U0000000XLnnIAG","false","Safety","2011-09-13T10:39:14.000Z","005U0000000XLnnIAG","2011-09-13T10:39:14.000Z","005U0000000XLnnIAG","2011-09-13T10:39:14.000Z","true","false","","","ZOCOR safety key message...","a00U0000001H1FzIAK","606528","","","true","","","","","","","","","","","","",""
"a0DU0000000Z0IdMAK","005U0000000XLnnIAG","false","Efficiacy","2011-09-13T10:39:26.000Z","005U0000000XLnnIAG","2011-09-13T10:39:26.000Z","005U0000000XLnnIAG","2011-09-13T10:39:26.000Z","true","false","","","ZOCOR efficiacy key message...","a00U0000001H1FzIAK","606528","","","true","","","","","","","","","","","","",""
"a0DU00000059OXwMAM","005U0000000nwrsIAA","false","Merck Services","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OXxMAM","005U0000000nwrsIAA","false","Merck Contract","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OXyMAM","005U0000000nwrsIAA","false","Vaccine Pre Book","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OXzMAM","005U0000000nwrsIAA","false","Business Review","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY0MAM","005U0000000nwrsIAA","false","MMF Follow Up/Logistics","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY1MAM","005U0000000nwrsIAA","false","Reimbursement/Managed Care","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY2MAM","005U0000000nwrsIAA","false","VFC Program","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY3MAM","005U0000000nwrsIAA","false","Merck Adult Vaccination Program","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY4MAM","005U0000000nwrsIAA","false","Patient Outreach Program","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY5MAM","005U0000000nwrsIAA","false","MerckVaccines.com","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY6MAM","005U0000000nwrsIAA","false","Account Management","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY7MAM","005U0000000nwrsIAA","false","Patient Centered Medical Home","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY8MAM","005U0000000nwrsIAA","false","General Vaccine","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OY9MAM","005U0000000nwrsIAA","false","Purchasing/Inventory Management","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OYAMA2","005U0000000nwrsIAA","false","Pharmacy","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU00000059OYBMA2","005U0000000nwrsIAA","false","Order Process/Logistics","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","005U0000000nwrsIAA","2012-05-08T18:56:17.000Z","true","false","","","","a00U0000003NeH3IAK","TOPIC_VACCINES","","","true","","","","","","","","","","","","",""
"a0DU0000005An87MAC","005U0000000nwrsIAA","false","CDC's ACIP","2012-05-09T16:14:50.000Z","005U0000000nwrsIAA","2013-04-23T18:03:48.000Z","005U0000000pD4vIAE","2013-04-23T18:03:48.000Z","true","false","","","CDC's ACIP","a00U0000003NdG7IAK","606512","","17.0","false","General","","CLM ID","","","en_US","1641934257","GARDASIL-4_0-CDCs-ACIP.zip","1868594.0","","","",""
"a0DU0000005An8sMAC","005U0000000nwrsIAA","false","3 Things Parents May Want to Know","2012-05-09T16:03:16.000Z","005U0000000nwrsIAA","2013-04-23T17:56:27.000Z","005U0000000pD4vIAE","2013-04-23T17:56:27.000Z","true","false","","","3 Things Parents May Want to Know","a00U0000003NdG7IAK","606512","","18.0","false","General","","CLM ID","","","en_US","3584587585","GARDASIL-4_1-three-things-parents-may-want-to-know.zip","1845888.0","","","",""
"a0DU0000005An92MAC","005U0000000nwrsIAA","false","Adolescent Exposure","2012-05-09T16:05:36.000Z","005U0000000nwrsIAA","2013-04-23T17:57:25.000Z","005U0000000pD4vIAE","2013-04-23T17:57:25.000Z","true","false","","","Adolescent Exposure","a00U0000003NdG7IAK","606512","","4.0","false","General","","CLM ID","","","en_US","1471897798","GARDASIL-1_2-adolescent_exposure.zip","1741045.0","","","",""
"a0DU0000005An97MAC","005U0000000nwrsIAA","false","Anal Cancer","2012-05-09T16:07:24.000Z","005U0000000nwrsIAA","2013-04-23T17:57:58.000Z","005U0000000pD4vIAE","2013-04-23T17:57:58.000Z","true","false","","","Anal Cancer","a00U0000003NdG7IAK","606512","","13.0","false","General","","CLM ID","","","en_US","1868895105","GARDASIL-2_3-anal-cancer.zip","1809824.0","","","",""
"a0DU0000005An9RMAS","005U0000000nwrsIAA","false","Anal Cancer","2012-05-09T16:12:23.000Z","005U0000000nwrsIAA","2013-04-23T18:02:24.000Z","005U0000000pD4vIAE","2013-04-23T18:02:24.000Z","true","false","","","Anal Cancer","a00U0000003NdG7IAK","606512","","8.0","false","General","","CLM ID","","","","1138695265","GARDASIL-1_3_3_anal_cancer.zip","1820368.0","","","",""
